ISSN,Estrato
0903-1936,A1
0904-2512,A1
0911-0119,B1
0916-8508,B3
0918-8959,B1
0920-4105,A1
0920-5489,A1
0920-5691,A1
0920-654X,A2
0920-8542,A2
0920-9964,A2
0921-0296,A2
0921-4488,A2
0921-7126,B2
0921-8890,A1
0922-6443,A4
0922-6567,B1
0923-2508,B1
0923-5965,A2
0923-8174,B2
0924-090X,A1
0924-1868,A1
0924-2716,A1
0924-669X,A3
0924-8463,A1
0924-9338,A1
0924-977X,A1
0924-9907,A1
0925-1022,A1
0925-1030,A4
0925-2312,A1
0925-4005,A1
0925-4439,A1
0925-5001,A2
0925-7535,A1
0925-7721,A4
0925-8531,A1
0925-9724,A2
0925-9902,A2
0926-227X,B1
0926-2644,A1
0926-6003,A2
0926-6690,A1
0926-8782,A4
0926-9630,B2
0926-9851,A2
0927-0248,A1
0927-0256,A1
0927-7099,A2
0928-1541,A3
0928-8910,A4
0929-5585,B2
0929-5593,A2
0929-6212,A4
0929-8215,A1
0931-1890,A2
0931-2668,A1
0932-8092,A3
0933-3657,A1
0933-5846,A3
0934-5043,A4
0934-9723,A1
0935-1175,A3
0937-9827,A2
0938-8974,A1
0940-1334,A1
0941-0643,A1
0941-4355,A2
0942-4962,A2
0943-4062,A3
0943-7444,A2
0944-1344,A2
0944-6532,A4
0947-3580,A2
0947-3602,A2
0948-5023,A3
0948-695X,B1
0948-6968,B1
0950-0618,A1
0950-2688,A4
0950-3293,A1
0950-4222,A2
0950-5849,A2
0950-7051,A1
0951-192X,A1
0951-5666,A1
0951-7715,A1
0951-8320,A1
0952-1976,A1
0952-4622,A3
0952-8091,A4
0953-5438,A3
0953-7325,A1
0954-0091,A3
0954-0962,A1
0954-1748,A2
0954-349X,A1
0955-792X,A2
0955-7997,A1
0956-5507,B1
0956-5663,A1
0956-7135,A1
0957-0233,A2
0957-4158,A2
0957-4174,A1
0957-5243,A4
0959-1524,A1
0959-3993,A2
0959-6518,A4
0959-6526,A2
0960-0779,A1
0960-0833,A4
0960-1295,A4
0960-1481,A1
0960-3085,A1
0960-3174,A2
0960-7692,A1
0960-8524,A1
0960-8923,A1
0962-2802,A2
0962-8444,A1
0963-8695,A1
0963-9314,A3
0963-9969,A1
0964-7775,A1
0965-0911,A4
0965-9978,A1
0966-3274,B1
0966-9760,A4
0967-070X,A1
0967-0769,A1
0969-9988,A1
0972-0707,B1
0972-6802,C
0972-7272,B3
0972-7981,A2
0974-0635,A4
0975-4660,C
0975-5861,B4
0975-8887,C
0975-9018,B2
1007-5704,A1
1010-6049,A1
1012-2443,A3
1016-8664,A4
1017-0405,A2
1017-1398,A2
1017-9909,B2
1018-3647,A1
1018-4813,A1
1018-4864,A4
1020-4989,A1
1021-7762,A2
1022-0038,A2
1024-123X,C
1025-5842,A4
1026-0269,C
1027-3719,A3
1029-0273,A1
1029-8436,A2
1040-8398,A1
1040-8444,A1
1041-1135,A2
1042-7201,A3
1042-9832,A2
1043-4666,A2
1044-0305,A2
1044-7318,A1
1046-283X,B2
1046-8781,A1
1047-3203,A3
1049-331X,A1
1049-4820,A1
1050-2947,A2
1050-6926,A1
1050-7256,A1
1051-2004,A2
1051-8215,A1
1051-9815,B1
1052-6234,A1
1053-2498,A1
1053-5888,A1
1054-1500,A2
1054-660X,A4
1055-4181,B1
1055-6788,A2
1057-5219,A1
1057-7149,A1
1058-6180,A4
1061-1967,B4
1061-3773,A1
1061-4036,A1
1063-0732,A1
1063-4584,A1
1063-651X,A2
1063-6692,A2
1063-6706,A1
1063-8016,A4
1063-8210,A2
1064-1246,A4
1064-7570,A2
1064-8275,A1
1066-5277,A3
1066-8888,A1
1068-5200,A3
1068-8471,B1
1068-9605,A2
1069-2509,A1
1070-6631,A1
1070-986X,A2
1070-9908,A1
1070-9932,A2
1071-5819,A1
1072-5520,B1
1073-0516,A2
1073-9149,A4
1074-5351,A4
1074-9357,A1
1076-9757,A2
1076-9986,A2
1077-2626,A1
1077-3142,A2
1077-8926,A3
1078-8956,A1
1080-5370,A1
1080-6040,A1
1081-4159,A1
1081-597X,A2
1082-6076,B1
1083-6489,A2
1084-4309,A4
1084-6654,A4
1084-8045,A1
1086-055X,A2
1088-467X,B2
1089-778X,A1
1089-7801,A2
1090-2724,A3
1091-9856,A4
1093-3263,A2
1094-4060,A2
1094-4087,A2
1094-6136,A3
1094-6969,A4
1096-9128,A2
1097-0037,A4
1097-0118,A3
1097-0134,A3
1097-0193,A1
1097-024X,A2
1097-198X,A2
1098-111X,C
1098-1241,A4
1098-3015,A1
1098-8823,A4
1099-0755,A2
1099-1131,A4
1099-114X,C
1099-1190,A3
1099-1239,A1
1099-128X,A2
1099-1689,A4
1099-4300,A2
1101-1262,A1
1134-3060,A1
1134-5632,B4
1134-5764,A2
1135-5948,A1
1137-3601,A4
1166-3081,A2
1175-5334,B1
1176-2322,B1
1176-3647,A1
1177-9322,A1
1178-2390,A2
1206-212X,A3
1213-6972,B3
1225-6463,A3
1226-086X,A1
1229-2370,A3
1234-3099,A3
1234-950X,B4
1270-6841,A2
1286-4579,A1
1286-4854,A4
1290-0729,A1
1290-385X,B3
1290-3868,A4
1292-8119,A2
1309-1042,A2
1314-2828,A4
1319-1578,A1
1331-1441,B1
1335-9150,B2
1338-4333,A3
1343-8875,A4
1346-9843,A2
1348-9151,B2
1350-4495,A2
1350-4851,A1
1350-911X,A4
1351-0088,A2
1351-3249,A1
1352-2310,A1
1352-3252,A1
1352-8661,A3
1353-3452,A1
1355-0306,A3
1359-4184,A1
1359-4311,A1
1359-4338,A1
1359-6454,A1
1359-7620,B4
1360-0451,A3
1360-2276,A2
1360-2357,A1
1361-1682,A3
1361-4568,A3
1361-8415,A1
1362-3001,A1
1362-3052,A1
1362-3079,A2
1362-4962,A1
1364-0321,A1
1364-503X,A1
1364-5072,A3
1364-8152,A1
1365-2052,A1
1365-2869,A1
1365-313X,A1
1365-8050,B2
1365-8816,A1
1366-5545,A1
1366-588X,A1
1366-5901,A2
1367-0751,A1
1367-4803,A1
1367-4811,A1
1367-5788,A1
1368-5031,A2
1368-8375,A1
1368-9800,A1
1370-4621,A4
1380-7501,A2
1381-1231,A2
1382-3256,A2
1382-6905,A3
1383-469X,A2
1383-7621,A2
1384-5810,A1
1384-6175,A2
1385-2256,A1
1385-8947,A1
1386-1425,A1
1386-145X,A2
1386-2588,A3
1386-4564,A2
1386-5056,A1
1386-7857,A2
1387-2532,A4
1387-2877,A2
1387-974X,A4
1388-5545,A4
1389-0417,A3
1389-1286,A1
1389-2037,B1
1389-2576,A2
1389-4420,A3
1392-6292,A1
1396-0466,A1
1405-213X,A3
1413-2060,A4
1413-8123,A1
1413-8670,A3
1413-9014,C
1414-431X,A2
1414-462X,B1
1414-5685,A3
1414-7327,A2
1414-8145,A4
1414-8498,B3
1414-8862,B1
1415-4757,A3
1415-8876,A3
1420-0597,A2
1420-2026,A3
1420-3049,A2
1420-326X,A2
1422-0067,A1
1424-1250,A3
1424-8220,A4
1424-8247,A2
1431-9276,A1
1432-010X,A2
1432-0541,A4
1432-1076,A2
1432-1769,A3
1432-1882,A2
1432-2056,A3
1432-2315,A2
1432-4350,B1
1432-5012,A2
1432-7643,A1
1433-2779,A4
1433-2833,A3
1433-3015,A2
1433-3058,A1
1433-7479,A1
1433-7541,A2
1433-755X,A2
1433-8157,B4
1434-4483,A2
1434-6028,A4
1434-6036,A4
1434-8411,A2
1435-5558,A1
1435-5566,A1
1435-5930,A4
1436-3240,A1
1436-3771,A1
1436-4522,A1
1436-4646,A1
1436-5057,A1
1438-793X,A2
1438-8871,A1
1439-0469,C
1448-5869,A2
1460-2059,A1
1460-2067,A4
1460-4582,A2
1460-7425,A3
1461-3484,A2
1461-4448,A1
1462-6268,A2
1462-9011,A1
1463-5771,A1
1463-7154,A1
1463-9076,A2
