Sigla,Nome do evento,Estrato,quadrienio
ICSE-E,International Conference on Software Engineering Companion,A3,2021-2024
ICSE-NIER,ACM International Conference on Software Engineering: New Ideas and Emerging Results,A3,2021-2024
ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,B1,2021-2024
ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,A1,2021-2024
ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,B1,2021-2024
ICSESS,International Conference on Software Engineering and Service Science,A4,2021-2024
ICSI,International Conference on Swarm Intelligence,B1,2021-2024
ICSME,IEEE International Conference on Software Maintenance and Evolution,A2,2021-2024
ICSOB,International Conference on Software Business,B1,2021-2024
ICSOFT,International Conference on Software Technologies,B1,2021-2024
ICSSP,International Conference on Software and Systems Process,B3,2021-2024
ICSTV,"IEEE International Conference on Software Testing, Verification and Validation",A2,2021-2024
ICT,International Conference on Telecommunications,A4,2021-2024
ICTAC,International Colloquium on Theoretical Aspects of Computing,B1,2021-2024
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,A2,2021-2024
ICTD,International Conference on Information & Communication Technologies and Development,A3,2021-2024
ICTIR,Conference on the Theory of Information Retrieval,A3,2021-2024
ICTON,International Conference on Transparent Optical Networks,A4,2021-2024
ICTSS,IFIP International Conference on Testing Software and Systems,A3,2021-2024
ICUAS,International Conference on Unmanned Aircraft Systems,A2,2021-2024
ICUMT,International Conference on Ultra Modern Telecommunications,A4,2021-2024
ICWN,International Conference on Wireless Networks,A4,2021-2024
ICWSM,International AAAI Conference on Web and Social Media,A1,2021-2024
IDA,International Symposium on Intelligent Data Analysis,B1,2021-2024
IDEAL,International Conference on Intelligent Data Engineering and Automated Learning,B1,2021-2024
IDEAS,International Database Engineering and Applications Symposium,A3,2021-2024
IECON,Annual Conference of the IEEE Industrial Electronics Society,A2,2021-2024
IEEE IST,IEEE International Conference on Imaging Systems and Techniques,A4,2021-2024
IEEECloudS,IEEE Cloud Summit,B2,2021-2024
IEEENANO,IEEE Conference on Nanotechnology,B1,2021-2024
IEEESCC,IEEE International Conference on Services Computing,A4,2021-2024
IESS,IFIP International Embedded Systems Symposium,B4,2021-2024
IFAC,World Congress of the International Federation of Automatic Control,A1,2021-2024
IFSA,World Congress of International Fuzzy Systems Association,B3,2021-2024
IGARSS,IEEE International Geoscience and Remote Sensing Symposium,A1,2021-2024
IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,A3,2021-2024
IISA,"International Conference on Information, Intelligence, Systems and Applications",A3,2021-2024
IISWC,IEEE International Symposium on Workload Characterization,A3,2021-2024
IIWAS,International Conference on Information Integration and Web-based Applications & Services,A3,2021-2024
IJCAI,International Joint Conference on Artificial Intelligence,A1,2021-2024
IJCAR,International Joint Conference on Automated Reasoning,A4,2021-2024
IJCNLP,International Joint Conference on Natural Language Processing,A2,2021-2024
IJCNN,IEEE International Joint Conference on Neural Networks,A1,2021-2024
ILP,International Conference on Inductive Logic Programming,B3,2021-2024
IM,IFIP/IEEE International Symposium on Integrated Network Management,A2,2021-2024
IMBSA,International Symposium on Model-Based Safety and Assessment,B2,2021-2024
IMC,ACM Internet Measurement Conference,A1,2021-2024
IMOC,SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference,B3,2021-2024
INDIN,IEEE International Conference on Industrial Informatics,A3,2021-2024
INDUSCON,International Conference on Industry Applications,B2,2021-2024
INFOCOM,IEEE International Conference on Computer Communications,A1,2021-2024
INFOCOM-E,IEEE International Conference on Computer Communications Companion,A3,2021-2024
INLG,International Natural Language Generation conference,A2,2021-2024
INOC,International Network Optimization Conference,B3,2021-2024
INSCIT,"International Symposium on Instrumentation Systems, Circuits and Transducers",B4,2021-2024
INTELLISYS,SAI Intelligent Systems Conference,A3,2021-2024
INTERACT,IFIP TC 13 International Conference on Human-Computer Interaction,A3,2021-2024
INTERSPEECH,Conference of the International Speech Communication Association,A1,2021-2024
IOLTS,IEEE International On-Line Testing Symposium,A4,2021-2024
IoTBDS,International Conference on Internet of Things and Big Data and Security,B1,2021-2024
